"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "YAML", "XML", "TypeScript JSX", "PostCSS", "Docker", "comment", "blank", "total"
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 205, 0, 0, 4, 20, 229
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 309, 0, 6, 31, 346
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/help/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 7, 136
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 3, 56
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/login/components/StaffLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 9, 99
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/login/components/StudentLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 12, 94
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 8, 17, 226
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/GradeField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/GraduationYearField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/OrganizationField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 6, 66
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/ProofTypeField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/StaffRegistrationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 7, 96
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/StaffRegistrationInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/StudentRegistrationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/components/VerificationField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/register/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/reset-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 274, 0, 0, 8, 32, 314
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/DashboardHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/EmptyHoursState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/HoursFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 64
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/HoursTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 7, 113
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/StatsCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 7, 97
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/components/index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 4, 73
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/hours/add/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 260, 0, 0, 5, 24, 289
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/student/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 8, 19, 224
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/AllHoursFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 60
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/AllHoursTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 6, 141
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/ApprovalQueueEntry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 6, 108
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/ApprovalQueueTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 4, 104
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/BulkRejectDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 60
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/DeleteHourDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EditHourDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 4, 96
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EmptyAllHours.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EmptyApprovalQueue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/SupervisorHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/SupervisorStatsCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 7, 85
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 5, 106
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/supervisor/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 332, 0, 0, 16, 32, 380
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/unauthorized/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 9, 86
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/verify-email/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 6, 27, 204
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/AuthCardHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/AuthFooterLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/AuthPageContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/AuthSecurityBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/AuthTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/auth/BackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/data/DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 6, 93
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/feedback/EmailVerificationAlert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 8, 76
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/feedback/EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/feedback/ErrorState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/feedback/LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/feedback/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/forms/Field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/forms/Form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/forms/FormAlerts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/forms/PasswordField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/forms/SubmitButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/layout/app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/layout/bottom-tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 7, 72
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/layout/page-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/layout/top-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 5, 14, 133
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/providers/Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 15, 158
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/animated-counter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/animated-logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 4, 9, 103
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 11, 110
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 11, 214
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 13, 107
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 28, 242
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 0, 2, 37, 354
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 13, 185
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 19, 253
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 14, 142
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 19, 259
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 25, 168
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/gradient-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 9, 78
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/loading-spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 20, 277
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/mouse-tracking-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 3, 9, 96
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 12, 167
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/organization-selector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 311, 0, 0, 16, 26, 353
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/page-transition.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/components/ui/pagination-controls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 13, 21, 185
